antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
frozenset({'32805'}),frozenset({'42807'}),0.18656375361803687,0.18656375361803687,0.18656375361803687,1.0,5.3600979858464886,0.1517577194539853,inf,1.0
frozenset({'42808'}),frozenset({'32805'}),0.18656375361803687,0.18656375361803687,0.18656375361803687,1.0,5.3600979858464886,0.1517577194539853,inf,1.0
frozenset({'32805'}),frozenset({'42808'}),0.18656375361803687,0.18656375361803687,0.18656375361803687,1.0,5.3600979858464886,0.1517577194539853,inf,1.0
frozenset({'41608'}),frozenset({'41607'}),0.33917297178354405,0.33917297178354405,0.33917297178354405,1.0,2.9483481385367805,0.2241346669950633,inf,1.0000000000000002
frozenset({'41607'}),frozenset({'41608'}),0.33917297178354405,0.33917297178354405,0.33917297178354405,1.0,2.9483481385367805,0.2241346669950633,inf,1.0000000000000002
frozenset({'42808'}),frozenset({'42807'}),0.18656375361803687,0.18656375361803687,0.18656375361803687,1.0,5.3600979858464886,0.1517577194539853,inf,1.0
frozenset({'42807'}),frozenset({'42808'}),0.18656375361803687,0.18656375361803687,0.18656375361803687,1.0,5.3600979858464886,0.1517577194539853,inf,1.0
frozenset({'32702'}),frozenset({'42709'}),0.12667783814891925,0.12667783814891925,0.12667783814891925,1.0,7.89404061998931,0.11063056347083547,inf,1.0
frozenset({'42709'}),frozenset({'32702'}),0.12667783814891925,0.12667783814891925,0.12667783814891925,1.0,7.89404061998931,0.11063056347083547,inf,1.0
frozenset({'33807'}),frozenset({'43807'}),0.18217979315831345,0.1821967196465749,0.18217979315831345,1.0,5.488573021181717,0.14898723245897721,inf,0.9999793029224273
frozenset({'43807'}),frozenset({'33807'}),0.1821967196465749,0.18217979315831345,0.18217979315831345,0.9999070977331848,5.488573021181717,0.14898723245897721,8803.01670645035,1.0
frozenset({'33807'}),frozenset({'43808'}),0.18217979315831345,0.1821967196465749,0.18217979315831345,1.0,5.488573021181717,0.14898723245897721,inf,0.9999793029224273
frozenset({'43808'}),frozenset({'33807'}),0.1821967196465749,0.18217979315831345,0.18217979315831345,0.9999070977331848,5.488573021181717,0.14898723245897721,8803.01670645035,1.0
frozenset({'43807'}),frozenset({'43808'}),0.1821967196465749,0.1821967196465749,0.1821967196465749,1.0,5.488573021181717,0.1490010749966023,inf,1.0000000000000002
frozenset({'43808'}),frozenset({'43807'}),0.1821967196465749,0.1821967196465749,0.1821967196465749,1.0,5.488573021181717,0.1490010749966023,inf,1.0000000000000002
frozenset({'42607'}),frozenset({'32604'}),0.2749877282960104,0.2749877282960104,0.2749877282960104,1.0,3.636525914071156,0.19936947758260998,inf,1.0000000000000002
frozenset({'32604'}),frozenset({'42607'}),0.2749877282960104,0.2749877282960104,0.2749877282960104,1.0,3.636525914071156,0.19936947758260998,inf,1.0000000000000002
